,Departamento,Municipio,Fuente,Victima,Agente,Año,Tipo_agresion
12643,Valle Del Cauca,Roldanillo,Noche Y Niebla # 30 Pp. 150,1,Grupo Armado No Identificado,2004,
12644,Antioquia,Anorí,Noche Y Niebla # 30 Pp. 150,2,Grupos Paramilitares,2004,
12645,Bolivar,Magangué,Noche Y Niebla # 30 Pp. 150,2,Grupos Paramilitares,2004,
12646,Norte De Santander,Tibú,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Grupos Paramilitares,2004,
12647,Putumayo,Puerto Asís,Noche Y Niebla # 30 Pp. 149 Y 150,3,Grupos Paramilitares,2004,
12648,Antioquia,Granada,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,2,Fuerza Pública,2004,
12649,Tolima,Roncesvalles,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Fuerza Pública,2004,
12650,Caldas,Villa María,Noche Y Niebla # 30 Pp. 150,1,Grupos Paramilitares,2004,
12651,Antioquia,Remedios,Noche Y Niebla # 30 Pp. 151,1,Grupo Armado No Identificado,2004,
12652,Magdalena,Algarrobo,Noche Y Niebla # 30 Pp. 150,1,Grupo Armado No Identificado,2004,
12653,Santander,Barrancabermeja,Noche Y Niebla # 30 Pp. 150,1,Grupos Paramilitares,2004,
12654,Caqueta,Cartagena Del Chairá,Noche Y Niebla # 30 Pp. 153,1,Fuerza Pública,2004,
12656,Risaralda,Apia,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,1,Grupos Paramilitares,2004,
12657,Tolima,Casabianca,Noche Y Niebla # 30 Pp. 153,1,Grupos Paramilitares,2004,
12658,Tolima,Lérida ,Noche Y Niebla # 30 Pp. 152,1,Grupos Paramilitares,2004,
12659,Caldas,Samaná,Noche Y Niebla # 30 Pp. 152,1,Guerrilla  ,2004,
12660,Cesar,Pailitas,Noche Y Niebla # 30 Pp. 153,1,Grupos Paramilitares,2004,
12661,Caldas,Anserma,Noche Y Niebla # 30 Pp. 155,1,Grupo Armado No Identificado,2004,
12662,Caldas,Marquetalia,Noche Y Niebla # 30 Pp. 155,1,Grupo Armado No Identificado,2004,
12663,Tolima,San Luis,Noche Y Niebla # 30 Pp. 155,1,Grupos Paramilitares,2004,
12664,Arauca,Tame,Noche Y Niebla # 30 Pp. 156,2,Grupo Armado No Identificado,2004,
12665,Norte De Santander,El Carmen,Noche Y Niebla # 30 Pp. 156,1,Grupos Paramilitares,2004,
12666,Valle Del Cauca,Buenaventura,Noche Y Niebla # 30 Pp. 156,2,Grupos Paramilitares,2004,
12667,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 157,1,Grupo Armado No Identificado,2004,
12668,Sucre,Sincelejo,Noche Y Niebla # 30 Pp. 157,1,Grupos Paramilitares,2004,
12669,Meta,El Castillo,Noche Y Niebla # 30 Pp. 157,2,Guerrilla  ,2004,
12670,Tolima,Líbano,Noche Y Niebla # 30 Pp. 157,3,Guerrilla  ,2004,
12671,Valle Del Cauca,Tuluá,Noche Y Niebla # 30 Pp. 157 Y 158,1,Grupo Armado No Identificado,2004,
12672,Tolima,Casabianca,Noche Y Niebla # 30 Pp. 158,1,Grupos Paramilitares,2004,
12673,La Guajira,Dibulla,Noche Y Niebla # 30 Pp. 158,2,Grupo Armado No Identificado,2004,
12674,Antioquia,Granada,Banco De Datos De Derechos Humanos Y Violencia Política Del Cinep,2,Fuerza Pública,2004,
12675,Antioquia,Medellín,Noche Y Niebla # 30 Pp. 158 Y 159,2,Fuerza Pública,2004,
12676,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 159,1,Grupo Armado No Identificado,2004,
12677,Valle Del Cauca,Cali,Noche Y Niebla # 30 Pp. 159,1,Grupo Armado No Identificado,2004,
12678,Boyaca,Sogamoso,Noche Y Niebla # 30 Pp. 159,1,Grupos Paramilitares,2004,
12679,La Guajira,Maicao,Noche Y Niebla # 42 Pp. 177,3,Grupos Paramilitares,2004,
12680,Guaviare,San José Del Guaviare,Noche Y Niebla # 30 Pp. 160,1,Guerrilla  ,2004,
12681,Atlantico,Barranquilla,Noche Y Niebla # 30 Pp. 160 Y 161,2,Grupos Paramilitares,2004,
12682,Risaralda,Pereira,Noche Y Niebla # 30 Pp. 161,1,Grupos Paramilitares,2004,
12683,Sucre,Sincelejo,Noche Y Niebla # 30 Pp. 160,1,Guerrilla  ,2004,
12684,Valle Del Cauca,Dagua,Noche Y Niebla # 30 Pp. 162,1,Fuerza Pública-Grupos Paramilitares,2004,
12685,Atlantico,Tubará,Noche Y Niebla # 30 Pp. 161,3,Grupo Armado No Identificado,2004,
12686,Huila,Gigante,Noche Y Niebla # 30 Pp. 161,1,Grupo Armado No Identificado,2004,
12687,Magdalena,Pivijay,Noche Y Niebla # 30 Pp. 161,1,Grupo Armado No Identificado,2004,
